module_id,title,sequence,volume_horaire
1,Technique d’expression écrite et orale,1,30
2,Note de synthèse,1,30
3,Rédaction administrative,1,30
4,Déontologie du greffier,1,30
5,Greffe dans la procédure civile,2,30
6,Greffe dans la procédure pénale,2,30
7,Management des services du greffe,3,30
8,Outils de gestion et rédaction des actes du greffe,3,30
